,INGRD_NM
0,마늘
1,소금
2,양파
3,설탕
4,참기름
5,계란
6,물
7,간장
8,대파
9,후추
10,고춧가루
11,당근
12,통깨
13,고추장
14,청양고추
15,식용유
16,올리고당
17,맛술
18,식초
19,파
20,버터
21,고추
22,우유
23,감자
24,밥
25,고추가루
26,국간장
27,굴소스
28,두부
29,된장
30,깨소금
31,진간장
32,무
33,마요네즈
34,들기름
35,오이
36,후춧가루
37,생강
38,청주
39,물엿
40,파프리카
41,매실액
42,꿀
43,밀가루
44,매실청
45,쪽파
46,양배추
47,애호박
48,부추
49,깨
50,올리브유
51,다시마
52,박력분
53,깻잎
54,
55,식빵
56,김치
57,표고버섯
58,소고기
59,콩나물
60,멸치액젓
61,베이킹파우더
62,돼지고기
63,레몬즙
64,새우젓
65,생크림
66,파슬리가루
67,베이컨
68,통마늘
69,부침가루
70,새송이버섯
71,올리브오일
72,액젓
73,사과
74,모짜렐라치즈
75,굵은소금
76,팽이버섯
77,미림
78,오징어
79,생강가루
80,케찹
81,간마늘
82,어묵
83,토마토
84,햄
85,새우
86,멸치
87,호박
88,튀김가루
89,느타리버섯
90,포도씨유
91,고구마
92,후추가루
93,슬라이스치즈
94,당면
95,통후추
96,소주
97,시금치
98,빵가루
99,들깨가루
100,양조간장
101,가지
102,멸치육수
103,브로콜리
104,참치액
105,월계수잎
106,닭가슴살
107,치즈
108,피자치즈
109,슈가파우더
110,쌀
111,김
112,방울토마토
113,찹쌀가루
114,참깨
115,기름
116,피망
117,육수
118,카레가루
119,케첩
120,천일염
121,버섯
122,쌀뜨물
123,스팸
124,상추
125,크림치즈
126,생수
127,배
128,청고추
129,떡볶이떡
130,풋고추
131,숙주
132,황설탕
133,호두
134,양송이버섯
135,단무지
136,양상추
137,멸치다시다육수
138,강력분
139,생강술
140,꽈리고추
141,생강즙
142,미나리
143,파슬리
144,맛살
145,소면
146,맛간장
147,김치국물
148,묵은지
149,참치
150,토마토소스
151,김가루
152,대추
153,까나리액젓
154,김밥용김
155,체다치즈
156,전분가루
157,단호박
158,전분
159,삼겹살
160,고추기름
161,파마산치즈가루
162,카놀라유
163,닭
164,아몬드가루
165,드라이이스트
166,바지락
167,오일
168,허브솔트
169,견과류
170,레몬
171,미역
172,딸기
173,바나나
174,야채
175,또띠아
176,맛소금
177,청경채
178,스파게티면
179,떡국떡
180,얼음
181,참치캔
182,배추
183,굴
184,무염버터
185,빨강파프리카
186,계피가루
187,흑설탕
188,검은깨
189,건고추
190,쑥갓
191,찹쌀
192,바닐라익스트랙
193,라면
194,다시마육수
195,신김치
196,비엔나소시지
197,연유
198,베이킹소다
199,사각어묵
200,크래미
201,조청
202,달래
203,슬라이스햄
204,머스타드소스
205,무우
206,실파
207,중력분
208,소세지
209,파스타면
210,메추리알
211,잣
212,집간장
213,건새우
214,아몬드
215,전복
216,녹말가루
217,머스타드
218,돈가스소스
219,파프리카가루
220,감자전분
221,순두부
222,대패삼겹살
223,청피망
224,코코아가루
225,페페론치노
226,청량고추
227,연겨자
228,만두
229,딸기잼
230,치킨스톡
231,꽃소금
232,다크초콜렛
233,칵테일새우
234,우엉
235,요리당
236,밤
237,초고추장
238,건표고버섯
239,돼지고기다짐육
240,다시다
241,돼지고기앞다리살
242,다시멸치
243,떡
244,노른자
245,아보카도
246,소시지
247,홍합
248,초코칩
249,연근
250,청양초
251,두반장
252,배추김치
253,아몬드슬라이스
254,고등어
255,허니머스타드
256,이스트
257,마늘쫑
258,옥수수
259,차돌박이
260,발사믹식초
261,코코아파우더
262,피클
263,칠리소스
264,국물용멸치
265,파마산치즈
266,화이트와인
267,스테이크소스
268,냉이
269,무순
270,고사리
271,플레인요거트
272,붉은고추
273,시나몬가루
274,토마토케첩
275,땅콩
276,매실
277,가래떡
278,쌈장
279,건포도
280,소불고기
281,봄동
282,뜨거운물
283,매운고추
284,우스터소스
285,쯔유
286,찹쌀풀
287,간돼지고기
288,시래기
289,와사비
290,바질
291,인삼
292,가쓰오부시
293,어린잎채소
294,꼬막
295,핫소스
296,배즙
297,국수
298,파뿌리
299,땡초
300,모닝빵
301,다시마물
302,데리야끼소스
303,숙주나물
304,잔멸치
305,멸치가루
306,블루베리
307,명란젓
308,잔파
309,쭈꾸미
310,아가베시럽
311,만두피
312,라면사리
313,황태채
314,파인애플
315,사이다
316,굵은고춧가루
317,키위
318,도토리묵
319,알배추
320,녹인버터
321,옥수수콘
322,홍피망
323,진미채
324,디포리
325,꽃게
326,마늘가루
327,닭고기
328,바질가루
329,낙지
330,연어
331,땅콩버터
332,바닐라오일
333,닭다리살
334,사골육수
335,치커리
336,슬라이스아몬드
337,청국장
338,날치알
339,바게트빵
340,샐러리
341,적양파
342,생강청
343,참치액젓
344,홀그레인머스타드
345,양파즙
346,메이플시럽
347,돼지갈비
348,칼국수면
349,오뎅
350,순대
351,천연조미료
352,옥수수전분
353,게맛살
354,아스파라거스
355,국거리용소고기
356,탄산수
357,등갈비
358,후랑크소시지
359,유부
360,양송이
361,고운소금
362,캔옥수수
363,돼지고기목살
364,흰자
365,스파게티소스
366,유자청
367,휘핑크림
368,목이버섯
369,냉동새우
370,로즈마리
371,겨자
372,조선간장
373,귤
374,황태
375,갈치
376,청양고춧가루
377,오이고추
378,소고기다짐육
379,검정깨
380,초콜렛
381,블랙올리브
382,새우살
383,콩기름
384,전분물
385,라이스페이퍼
386,쑥
